id,product_id,store_id,price,recorded_date
1,1,1,36.71,2026-02-02
2,1,1,36.03,2026-02-05
3,1,1,35.16,2026-02-08
4,1,1,36.92,2026-02-11
5,1,1,37.18,2026-02-14
6,1,1,36.42,2026-02-17
7,1,1,36.8,2026-02-20
8,1,1,37.71,2026-02-23
9,1,1,36.8,2026-02-26
10,1,1,36.37,2026-03-01
11,1,2,33.04,2026-02-02
12,1,2,35.49,2026-02-05
13,1,2,33.12,2026-02-08
14,1,2,35.48,2026-02-11
15,1,2,35.62,2026-02-14
16,1,2,32.8,2026-02-17
17,1,2,34.48,2026-02-20
18,1,2,32.91,2026-02-23
19,1,2,32.76,2026-02-26
20,1,2,32.75,2026-03-01
21,1,3,32.93,2026-02-02
22,1,3,32.85,2026-02-05
23,1,3,32.3,2026-02-08
24,1,3,34.99,2026-02-11
25,1,3,32.87,2026-02-14
26,1,3,34.9,2026-02-17
27,1,3,33.49,2026-02-20
28,1,3,31.97,2026-02-23
29,1,3,34.8,2026-02-26
30,1,3,33.4,2026-03-01
31,1,4,34.65,2026-02-02
32,1,4,32.39,2026-02-05
33,1,4,31.48,2026-02-08
34,1,4,32.26,2026-02-11
35,1,4,33.85,2026-02-14
36,1,4,31.43,2026-02-17
37,1,4,32.21,2026-02-20
38,1,4,34.23,2026-02-23
39,1,4,33.73,2026-02-26
40,1,4,33.35,2026-03-01
41,1,5,37.28,2026-02-02
42,1,5,36.63,2026-02-05
43,1,5,36.58,2026-02-08
44,1,5,37.39,2026-02-11
45,1,5,36.54,2026-02-14
46,1,5,36.33,2026-02-17
47,1,5,35.05,2026-02-20
48,1,5,34.88,2026-02-23
49,1,5,34.68,2026-02-26
50,1,5,35.79,2026-03-01
51,2,1,58.27,2026-02-02
52,2,1,59.37,2026-02-05
53,2,1,55.65,2026-02-08
54,2,1,56.55,2026-02-11
55,2,1,58.33,2026-02-14
56,2,1,55.16,2026-02-17
57,2,1,59.12,2026-02-20
58,2,1,57.02,2026-02-23
59,2,1,54.38,2026-02-26
60,2,1,59.17,2026-03-01
61,2,2,61.19,2026-02-02
62,2,2,62.47,2026-02-05
63,2,2,62.6,2026-02-08
64,2,2,59.18,2026-02-11
65,2,2,57.27,2026-02-14
66,2,2,62.22,2026-02-17
67,2,2,62.68,2026-02-20
68,2,2,57.85,2026-02-23
69,2,2,58.72,2026-02-26
70,2,2,58.52,2026-03-01
71,2,3,65.41,2026-02-02
72,2,3,60.71,2026-02-05
73,2,3,61.64,2026-02-08
74,2,3,64.76,2026-02-11
75,2,3,62.32,2026-02-14
76,2,3,60.74,2026-02-17
77,2,3,62.44,2026-02-20
78,2,3,59.56,2026-02-23
79,2,3,64.42,2026-02-26
80,2,3,61.78,2026-03-01
81,2,4,59.52,2026-02-02
82,2,4,57.86,2026-02-05
83,2,4,60.96,2026-02-08
84,2,4,56.27,2026-02-11
85,2,4,58.19,2026-02-14
86,2,4,60.62,2026-02-17
87,2,4,59.44,2026-02-20
88,2,4,58.77,2026-02-23
89,2,4,58.91,2026-02-26
90,2,4,56.67,2026-03-01
91,2,5,56.01,2026-02-02
92,2,5,56.09,2026-02-05
93,2,5,61.01,2026-02-08
94,2,5,59.33,2026-02-11
95,2,5,59.6,2026-02-14
96,2,5,59.05,2026-02-17
97,2,5,56.29,2026-02-20
98,2,5,57.43,2026-02-23
99,2,5,58.0,2026-02-26
100,2,5,61.24,2026-03-01
101,3,1,212.46,2026-02-02
102,3,1,211.78,2026-02-05
103,3,1,201.68,2026-02-08
104,3,1,195.66,2026-02-11
105,3,1,211.14,2026-02-14
106,3,1,193.72,2026-02-17
107,3,1,208.49,2026-02-20
108,3,1,196.24,2026-02-23
109,3,1,205.33,2026-02-26
110,3,1,206.92,2026-03-01
111,3,2,189.68,2026-02-02
112,3,2,199.9,2026-02-05
113,3,2,203.14,2026-02-08
114,3,2,202.45,2026-02-11
115,3,2,194.93,2026-02-14
116,3,2,206.4,2026-02-17
117,3,2,201.75,2026-02-20
118,3,2,199.58,2026-02-23
119,3,2,202.14,2026-02-26
120,3,2,196.04,2026-03-01
121,3,3,190.22,2026-02-02
122,3,3,199.48,2026-02-05
123,3,3,199.15,2026-02-08
124,3,3,204.93,2026-02-11
125,3,3,198.99,2026-02-14
126,3,3,195.13,2026-02-17
127,3,3,201.46,2026-02-20
128,3,3,201.33,2026-02-23
129,3,3,192.71,2026-02-26
130,3,3,198.51,2026-03-01
131,3,4,178.08,2026-02-02
132,3,4,180.55,2026-02-05
133,3,4,170.96,2026-02-08
134,3,4,185.43,2026-02-11
135,3,4,172.16,2026-02-14
136,3,4,174.84,2026-02-17
137,3,4,176.3,2026-02-20
138,3,4,170.95,2026-02-23
139,3,4,179.5,2026-02-26
140,3,4,175.22,2026-03-01
141,3,5,202.0,2026-02-02
142,3,5,198.26,2026-02-05
143,3,5,203.04,2026-02-08
144,3,5,204.55,2026-02-11
145,3,5,195.53,2026-02-14
146,3,5,192.76,2026-02-17
147,3,5,197.21,2026-02-20
148,3,5,203.56,2026-02-23
149,3,5,202.96,2026-02-26
150,3,5,208.51,2026-03-01
151,4,1,37.31,2026-02-02
152,4,1,38.56,2026-02-05
153,4,1,36.4,2026-02-08
154,4,1,37.12,2026-02-11
155,4,1,37.62,2026-02-14
156,4,1,37.9,2026-02-17
157,4,1,38.19,2026-02-20
158,4,1,39.28,2026-02-23
159,4,1,35.95,2026-02-26
160,4,1,39.0,2026-03-01
161,4,2,40.94,2026-02-02
162,4,2,39.57,2026-02-05
163,4,2,40.37,2026-02-08
164,4,2,39.23,2026-02-11
165,4,2,38.69,2026-02-14
166,4,2,41.76,2026-02-17
167,4,2,41.08,2026-02-20
168,4,2,38.84,2026-02-23
169,4,2,38.85,2026-02-26
170,4,2,40.06,2026-03-01
171,4,3,42.51,2026-02-02
172,4,3,42.86,2026-02-05
173,4,3,42.55,2026-02-08
174,4,3,44.35,2026-02-11
175,4,3,43.47,2026-02-14
176,4,3,41.54,2026-02-17
177,4,3,41.19,2026-02-20
178,4,3,43.04,2026-02-23
179,4,3,43.62,2026-02-26
